"SongName","ArtistName","AlbumName"
"Chorra","La Chicana","Unknown Album"
"Sopapa","La Chicana","Unknown Album"
"El camba","La Chicana","Unknown Album"
"Dolor wolof","La Chicana","Unknown Album"
"Chamarrita del chamán","La Chicana","Unknown Album"
"Callejera","La Chicana","Unknown Album"
"Juguete rabioso","La Chicana","Unknown Album"
"Muñequita China","La Chicana","Unknown Album"
"Sol Tropical","La Chicana","Unknown Album"
"Confesión","La Chicana","Unknown Album"
"Peón de tu ajedrez","La Chicana","Unknown Album"
"Una Iguana Y Tres Monedas","La Chicana","Unknown Album"
"Forró em Santa Luzia","La Chicana","Unknown Album"
"La mujer del soldado","La Chicana","Unknown Album"
"Milonga de los perros","La Chicana","Unknown Album"
"Ayer hoy era mañana","La Chicana","Unknown Album"
"Si vieras","La Chicana","Unknown Album"
"En un feca","La Chicana","Un giro extraño"
"Puro cuento","La Chicana","Un giro extraño"
"Los años de joda de aníbal","La Chicana","Un giro extraño"
"Forro em santa luzia","La Chicana","Un giro extraño"
"El ciruja","La Chicana","Un giro extraño"
"Sueño de morocha en un conventillo","La Chicana","Un giro extraño"
"Un giro extra?o","La Chicana","Un giro extraño"
"La bestia potenciada","La Chicana","Un giro extraño"
"Fuegos artificiales","La Chicana","Un giro extraño"
"La foto del escarabajo","La Chicana","Un giro extraño"
"Un ruido extraño","La Chicana","Un giro extraño"
"Ella se fue","La Chicana","Un giro extraño"
"Polka de la tarjeta de cartón","La Chicana","Un giro extraño"
"Lucho en el suelo con diamantes","La Chicana","Un giro extraño"
"Imposible","La Chicana","Un giro extraño"
"El apagón","La Chicana","Un giro extraño"
"San Pedro y San Pablo","La Chicana","Un giro extraño"
"La mina del Ford","La Chicana","Ayer hoy era mañana"
"Oro y plata","La Chicana","Ayer hoy era mañana"
"Baldosa floja","La Chicana","Ayer hoy era mañana"
"Chorra","La Chicana","Ayer hoy era mañana"
"El esquinazo","La Chicana","Ayer hoy era mañana"
"Qu? quer?s con ese loro","La Chicana","Ayer hoy era mañana"
"Una rosa y un farol","La Chicana","Ayer hoy era mañana"
"Gorda","La Chicana","Ayer hoy era mañana"
"Llamame chamam?","La Chicana","Ayer hoy era mañana"
"Tinta roja","La Chicana","Ayer hoy era mañana"
"Farandulera","La Chicana","Ayer hoy era mañana"
"La Marylin","La Chicana","Ayer hoy era mañana"
"Por una cabeza","La Chicana","Ayer hoy era mañana"
"El porte?ito","La Chicana","Ayer hoy era mañana"
"La patota","La Chicana","Ayer hoy era mañana"
"Ayer hoy era mañana","La Chicana","Tango agazapado"
"Frankestein","La Chicana","Tango agazapado"
"Tango Agazapado","La Chicana",""
"Juguete Rabioso","La Chicana","Barrio Tango (The New Generation of Nuevo Tango)"
"Cancion Llorada","La Chicana","Barrio Tango (The New Generation of Nuevo Tango)"
"Sopapa","La Chicana","Barrio Tango (The New Generation of Nuevo Tango)"
"Chorra","La Chicana","Ayer hoy era mañana"
"Oro y plata (Milonga)","La Chicana","Ayer hoy era mañana"
"El porteñito (Milonga)","La Chicana","Ayer hoy era mañana"
"Baldosa floja (Milonga)","La Chicana","Ayer hoy era mañana"
"Tinta Roja","La Chicana","Ayer hoy era mañana"
"Farandulera","La Chicana","Ayer hoy era mañana"
"Oro y Plata","La Chicana","Ayer hoy era mañana"
"La Mina Del Ford","La Chicana","Ayer hoy era mañana"
"El Esquinazo","La Chicana","Ayer hoy era mañana"
"Llamame chamamé","La Chicana","Ayer hoy era mañana"
"¿Qué Querés Con Ese Loro ?","La Chicana","Ayer hoy era mañana"
"El porteñito","La Chicana","Ayer hoy era mañana"
"La Marylin","La Chicana","Ayer hoy era mañana"
"Gorda","La Chicana","Ayer hoy era mañana"
"Baldosa Floja","La Chicana","Ayer hoy era mañana"
"Una rosa y un farol","La Chicana","Ayer hoy era mañana"
"La patota","La Chicana","Ayer hoy era mañana"
"Por Una Cabeza","La Chicana","Ayer hoy era mañana"
"Chamarrita del chamán","La Chicana","Tango agazapado"
"Pesh de tu oreja","La Chicana","Tango agazapado"
"Y no me conocés","La Chicana","Tango agazapado"
"Mil veces no","La Chicana","Tango agazapado"
"Revolución o Picnic","La Chicana","Revolución o Picnic"
"Fetiches","La Chicana","Revolución o Picnic"
"Hormigas Mentales","La Chicana","Revolución o Picnic"
"Del Diario De Viktor Frankenstein","La Chicana","Revolución o Picnic"
"Escaparse","La Chicana","Revolución o Picnic"
"La revolución es un sueño eterno","La Chicana","Revolución o Picnic"
"Ese Quién Es","La Chicana","Revolución o Picnic"
"Espejismo","La Chicana","Revolución o Picnic"
"Polka de la criatura","La Chicana","Revolución o Picnic"
"Cuentos Impagos","La Chicana","Revolución o Picnic"
"Mediodía","La Chicana","Revolución o Picnic"
"Ese viento","La Chicana","Revolución o Picnic"
"Yo, marioneta","La Chicana","Revolución o Picnic"
"Soneto","La Chicana","Revolución o Picnic"
"Tres hermanos","La Chicana","Revolución o Picnic"
"Pista 04","La Chicana","Tango agazapado"
"A los jovenes de ayer","La Chicana","Revolución o Picnic"
"Lullaby","La Chicana","Revolución o Picnic"
"Fruta amarga","La Chicana","Revolución o Picnic"
"Alabama song","La Chicana","Revolución o Picnic"
"El torito","La Chicana","Revolución o Picnic"
