"SongName","ArtistName","AlbumName"
"Save The Population","Red Hot Chili Peppers","Red Hot Chilli Peppers Greatest Hits"
"Ghosts","Chris Cornell","Carry On"
"No Such Thing","Chris Cornell","Carry On"
"Poison Eye","Chris Cornell","Carry On"
"Arms Around Your Love","Chris Cornell","The Roads We Choose: A Retrospective"
"Safe And Sound","Chris Cornell","Carry On"
"She'll Never Be Your Man","Chris Cornell","Carry On"
"Killing Birds","Chris Cornell","Carry On"
"Billie Jean","Chris Cornell","Carry On"
"Scar on the Sky","Chris Cornell","Carry On"
"Your Soul Today","Chris Cornell","Carry On"
"Silence the Voices","Chris Cornell","Carry On"
"Disappearing Act","Chris Cornell","Carry On"
"Today","Chris Cornell","Carry On"
"Track 1","Red Hot Chili Peppers","By the Way"
"Track 01","Red Hot Chili Peppers","By the Way"
"Track 14","Red Hot Chili Peppers","By the Way"
"Track 07","Red Hot Chili Peppers","By the Way"
"Track 05","Red Hot Chili Peppers","By the Way"
"Track 04","Red Hot Chili Peppers","By the Way"
"Track 02","Red Hot Chili Peppers","By the Way"
"Track 13","Red Hot Chili Peppers","By the Way"
"Track 06","Red Hot Chili Peppers","By the Way"
"Track 03","Red Hot Chili Peppers","By the Way"
"Track 11","Red Hot Chili Peppers","By the Way"
"Track 15","Red Hot Chili Peppers","By the Way"
"Track 12","Red Hot Chili Peppers","By the Way"
"Holy Water","Soundgarden","Badmotorfinger"
"Rusty Cage","Soundgarden","Badmotorfinger"
"Somewhere","Soundgarden","Badmotorfinger"
"New Damage","Soundgarden","Badmotorfinger"
"Jesus Christ Pose","Soundgarden","Badmotorfinger"
"Mind Riot","Soundgarden","Badmotorfinger"
"Searching With My Good Eye Closed","Soundgarden","Badmotorfinger"
"Marker in the Sand","Pearl Jam","Pearl Jam"
"Wasted (Reprise)","Pearl Jam","Pearl Jam"
"Room a Thousand Years Wide","Soundgarden","Badmotorfinger"
"Heretic","Soundgarden","Deep Six"
"All Your Lies","Soundgarden","Deep Six"
"Safe and Sound","Chris Cornell","Carry On"
"Severed Hand","Pearl Jam","Pearl Jam"
"Army Reserve","Pearl Jam","Pearl Jam"
"Unemployable","Pearl Jam","Pearl Jam"
"Gone","Pearl Jam","Pearl Jam"
"Billy Jean","Chris Cornell","Carry On"
"Roads We Choose","Chris Cornell","Carry On"
"Black hole sun","Soundgarden","Badmotorfinger"
"You Know My Name (Theme Casino Royale)","Chris Cornell","Carry On"
"Black Rain","Soundgarden","Black Rain"
"I Like Dirt","Red Hot Chilli Peppers","CALIFORNICATION"
"This Velvet Glove","Red Hot Chilli Peppers","CALIFORNICATION"
"Savior","Red Hot Chilli Peppers","Californication"
"Purple Stain","Red Hot Chilli Peppers","CALIFORNICATION"
"Right on Time","Red Hot Chilli Peppers","CALIFORNICATION"
"This Velvet Globe","Red Hot Chilli Peppers","CALIFORNICATION"
"Desecration","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"Hard To Condentrate","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"If","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"Readymade","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"Storm In A Teacup","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"Death Of A Martian","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"Turn It Again","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"So Much I","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"Make You Feel Better","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"Animal Bar","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"She Looks To Me","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"Tell Me Baby","Red Hot Chilli Peppers","Stadium Arcadium Disc 2"
"Room a Tousand Years Wide","Soundgarden","Badmotorfinger"
"Like Suicide (acoustic version)","Soundgarden","Black Hole Sun"
