"SongName","ArtistName","AlbumName"
"Solar","Domenico + 2","Sincerely Hot"
"astronauta","Kassin+2","Futurismo"
"Pra lembrar","Kassin+2","Futurismo"
"Tranquilo","Kassin+2","Futurismo"
"Futurismo","Kassin+2","Futurismo"
"trouble","Kassin+2","Futurismo"
"O Seu Lugar","Kassin+2","Futurismo"
"Esquecido","Kassin+2","Futurismo"
"Agua","Kassin+2","Futurismo"
"Mensagem","Kassin+2","Futurismo"
"sal do pedro sa","Kassin+2","Futurismo"
"Namorados","Kassin+2","Futurismo"
"Homem ao Mar","Kassin+2","Futurismo"
"Posibilidade","Domenico + 2","Sincerely Hot"
"Te Convidei Pro Samba","Domenico + 2","Sincerely Hot"
"Sertão","Moreno + 2","Maquina De Escrever Musica"
"Deusa do Amor","Moreno + 2","Maquina De Escrever Musica"
"Enquanto Isso","Moreno + 2","Maquina De Escrever Musica"
"Eu Sou Melhor que Você","Moreno + 2","Maquina De Escrever Musica"
"Das Partes","Moreno + 2","Maquina De Escrever Musica"
"Assim (Para Dyonne Boy)","Moreno + 2","Maquina De Escrever Musica"
"Esfinge","Moreno + 2","Maquina De Escrever Musica"
"Rio Longe [Far off Rio]","Moreno + 2","Maquina De Escrever Musica"
"O Livro and o Beijo","Moreno + 2","Maquina De Escrever Musica"
"Nenhuma","Moreno + 2","Maquina De Escrever Musica"
"Só Vendo que Beleza","Moreno + 2","Maquina De Escrever Musica"
"I'm Wishing","Moreno + 2","Maquina De Escrever Musica"
"Alegria Vai Lá","Domenico + 2","Sincerely Hot"
"Aeroporto 77","Domenico + 2","Sincerely Hot"
"Comigo","Domenico + 2","Sincerely Hot"
"Sincerely Hot","Domenico + 2","Sincerely Hot"
"Felizes ficaremos na estrada","Domenico + 2","Sincerely Hot"
"Você E Eu","Domenico + 2","Sincerely Hot"
"Telepata","Domenico + 2","Sincerely Hot"
"Tema Da Zorra","Domenico + 2","Sincerely Hot"
"Despedida","Domenico + 2","Sincerely Hot"
"Ponto Final","Kassin+2","Futurismo"
"Para Xó","Moreno + 2","Maquina De Escrever Musica"
