"SongName","ArtistName","AlbumName"
"Fake Tales of San Francisco","Arctic Monkeys","Five Minutes With Arctic Monkeys"
"Pimpers Paradise","Bob Marley & The Wailers","Natural Mystic"
"Preso En Mi Ciudad","Patricio Rey y sus Redonditos de Ricota","Oktubre"
"El sitio donde yo vivo","La Polla Records","Revolución"
"Marcus Garvey","Sinéad O'Connor","Throw Down Your Arms"
"Like a Rolling Stone (live)","Jimi Hendrix","The Jimi Hendrix Experience (disc 1)"
"You See Trouble With Me","Dancing Mood","Vol. 2"
"Cuenta en el Sol","Luis Alberto Spinetta","Spinetta Y Los Socios Del Desierto"
"Cheques","Luis Alberto Spinetta","Spinetta Y Los Socios Del Desierto"
"Our House","Madness","Madness"
"Mama Africa","Chico César","Aos Vivos"
"Positive Vibration","Cultura Profética","Tribute to the Legend Bob Marley Disc 1"
"Psycho Killer (2005 Remastered Album Version )","Talking Heads","Talking Heads 77 [w/Bonus Tracks]"
"Cristálida","Pescado Rabioso","Pescado Rabioso 2"
"Hombre blanco","Illya Kuryaki and the Valderramas","Chaco"
"Heroína","Sumo","Llegando los Monos"
"Los muchachos","El Porton","Conurbano"
"Like London","Sumo","Luca Prodan (Leyendas Del Rock)"
"Natural","Moby","Play"
"atolondrón","flopa/minimal","reducción de daños e.p."
"Lovefool","The Cardigans","First Band on the Moon"
"Todas las estrellas","El Siempreterno","Hacia el mar de carbón"
