"SongName","ArtistName","AlbumName"
"Living Loving Maid (Shes Just A Woman)","Led Zeppelin","Led Zeppelin II"
"What Is and What Should Never Be","Led Zeppelin","Led Zeppelin II"
"Easy Ride","The Doors","Unknown Album"
"Darlene","Led Zeppelin","Coda (Complete Recordings Set)"
"We're Gonna Groove","Led Zeppelin","Coda (Complete Recordings Set)"
"What Is And What Should Never","Led Zeppelin","Disc One"
"Night Flight","Led Zeppelin","Physical Graffiti"
"Sick Again","Led Zeppelin","Physical Graffiti"
"Hats Off To (roy) Harper","Led Zeppelin","Led Zeppelin I & II"
"The Girl I Love She Got Long Black Wavy Hair","Led Zeppelin","BBC Sessions"
"Thank You","Led Zeppelin","Led Zeppelin"
"Stairway To Heaven","Led Zeppelin","[Led Zeppelin IV]"
"Dazed and Confused (live, 1969: Paris)","Led Zeppelin","Led Zeppelin"
"I Can T Quit You Baby","Led Zeppelin","Led Zeppelin"
"No Quarter","Led Zeppelin","Physical Rarities"
"Gallows Pole","Led Zeppelin","Led Zeppelin"
"Custard Pie","Led Zeppelin","Led Zeppelin"
"For Your Life","Led Zeppelin","Led Zeppelin"
"Dancing Days","Led Zeppelin","Led Zeppelin"
"When The Levee Breaks","Led Zeppelin","Led Zeppelin"
"Ten Years Gone","Led Zeppelin","Led Zeppelin"
"In My Time Of Dying","Led Zeppelin","Led Zeppelin"
"In The Evening","Led Zeppelin","Led Zeppelin"
"Houses Of The Holy","Led Zeppelin","Led Zeppelin"
"Wearing And The Tearing","Led Zeppelin","Led Zeppelin"
"Poor Tom","Led Zeppelin","Led Zeppelin"
"In The Light","Led Zeppelin","Led Zeppelin"
"The Wanton Song","Led Zeppelin","Led Zeppelin"
"Moby Dick / Bonzo's Montreux","Led Zeppelin","Led Zeppelin"
"Strange Days","The Doors","The Very Best of The Doors"
"Spanish Caravan","The Doors","The Very Best of The Doors"
"The Unknown Soldier","The Doors","The Very Best of The Doors"
"Five To One","The Doors","The Very Best of The Doors"
"Who Do You Love","The Doors","Live at the Matrix"
"Wild Child","The Doors","Apocalypse Now"
"Fun Rap (Poem)","The Doors","Liquid Night"
"The Unknown Soldier","The Doors","Liquid Night"
"House Announcer","The Doors","Absolutely Live"
"Soul Kitchen","The Doors","Absolutely Live"
"Universal Mind","The Doors","Absolutely Live"
"Wake Up","The Doors","Absolutely Live"
"Tightrope Ride","The Doors","Other Voices"
"I'm Horny, I'm Stoned","The Doors","Other Voices / Full Circle"
"Ships w/ Sails","The Doors","Other Voices"
"Hardwood Floor","The Doors","Full Circle"
"The Mosquito","The Doors","Full Circle"
"Little Red Rooster","The Doors","Alive She Cried"
"Love Me Two Times","The Doors","Alive She Cried"
"Moonlight Drive","The Doors","Alive She Cried"
"You Make Me Real","The Doors","Alive She Cried"
"Rock Is Dead","The Doors","Without A Safety Net"
