"SongName","ArtistName","AlbumName"
"I Know Its Over","The Smiths","The Queen Is Dead"
"Modern Times Rock N Roll","Queen","Queen"
"Your My Best Friend","Queen","Queen's Greatest Hits"
"Matador","Arctic Monkeys","Favourite Worst Nightmare"
"On a plain","Nirvana","the best of"
"Something in the way","Nirvana","the best of"
"Im In Love With My Car","Queen","Queen's Greatest Hits"
"About a girl","Nirvana","the best of"
"Been A Son","Nirvana","the best of"
"Where Did You Sleep Last Night","Nirvana","the best of"
"Track 1","Red Hot Chili Peppers","By the Way"
"Track 01","Red Hot Chili Peppers","By the Way"
"Track 14","Red Hot Chili Peppers","By the Way"
"Track 07","Red Hot Chili Peppers","By the Way"
"Track 05","Red Hot Chili Peppers","By the Way"
"Track 04","Red Hot Chili Peppers","By the Way"
"Track 02","Red Hot Chili Peppers","By the Way"
"Track 13","Red Hot Chili Peppers","By the Way"
"Track 06","Red Hot Chili Peppers","By the Way"
"Track 03","Red Hot Chili Peppers","By the Way"
"Track 11","Red Hot Chili Peppers","By the Way"
"Track 15","Red Hot Chili Peppers","By the Way"
"Track 12","Red Hot Chili Peppers","By the Way"
"Da Frame 2R","Arctic Monkeys","Favourite Worst Nightmare"
"Mamma","Queen","Queen"
"About A Girl","Nirvana","the best of"
"Been A Son","Nirvana","the best of"
"Smells Like Teen Spirit","Nirvana","the best of"
"Come as you are","Nirvana","the best of"
"Lithium","Nirvana","the best of"
"In Bloom","Nirvana","the best of"
"Rape Me","Nirvana","the best of"
"Dump","Nirvana","the best of"
"All apologies","Nirvana","the best of"
"The Man Who Sold The World","Nirvana","the best of"
"Where Did You Sleep Last Night","Nirvana","the best of"
"You Know You're Right (previously unreleased)","Nirvana","the best of"
"In bloom","Nirvana","the best of"
"I Like Dirt","Red Hot Chilli Peppers","CALIFORNICATION"
"This Velvet Glove","Red Hot Chilli Peppers","CALIFORNICATION"
"Savior","Red Hot Chilli Peppers","Californication"
"Purple Stain","Red Hot Chilli Peppers","CALIFORNICATION"
"Right on Time","Red Hot Chilli Peppers","CALIFORNICATION"
"This Velvet Globe","Red Hot Chilli Peppers","CALIFORNICATION"
